hero
LITTLE, ABNER
MIRAGE II/DANIELLE M
CANNONBALL II/SAM GU
MAGNETO/MAGNUS/ERIC
MAGIK/ILLYANA RASPUT
SUNSPOT/ROBERTO DACO
S'YM
WARLOCK III
GRIFFITH, D.W.
CAGE, LUKE/CARL LUCA
CONOVER, HANNAH
HAWKSHAW
PUNCHOUT
PIPELINE/CORMICK GRI
CAPTAIN AMERICA
MOLECULE MAN/OWEN RE
ANT-MAN/DR. HENRY J.
GHOST RIDER II/JOHNN
JARVIS, EDWIN
WASP/JANET VAN DYNE
ARBOGAST, BAMBI
STANKOWICZ, FABIAN
STARR, TRIXIE TRISH
EGGHEAD/PROF. ELIHAS
MOON KNIGHT/MARC SPE
BLACK WIDOW/NATASHA
DRAX/ARTHUR DOUGLAS
HARDY, MORGAN MACNEI
SPIDER-MAN CLONE/BEN
GRIM HUNTER/KRAVINOF
TREVANE, DET. CONNOR
RAVEN, LT. JACOB
GREGOR
TOMBSTONE/LONNIE THO
BYRNES, GAYLE WATSON
ELLIS, KEN
KAINE
CAPUTO, DR. JULIA
JACK
JACKAL/MILES WARREN
GUARDIAN IV
ROBERTSON, JOE
STACY, GWEN (CLONE)
TRAINER, DR. SEWARD
STUNNER/ANGELINA BRA
BUCKNER, GRANT
SPIDERCIDE
TRAVELLER, DR. JUDAS
LOCKER, MR.
TOWER, BLAKE
HINDSIGHT LAD/CARLTO
TURBO II (A)/MICHIKO
GEE/ALEX POWER
SPEEDBALL II/DARRION
BLACK CAT/FELICIA HA
PROUST, PAUL
D'SPAYRE
MACHETE/FERDINAND LO
SILVER SABLE
SWORDSMAN/JACQUES DU
TRICKSHOT
SANDMAN/WILLIAM BAKE
RED SKULL II/ALBERT
GUDRUN [ASGARDIAN]
ODIN [ASGARDIAN]
VIZIER
FANDRAL [ASGARDIAN]
HOGUN [ASGARDIAN]
DOMINO III/BEATRICE/
BLAQUESMITH
MERRYWEATHER, IRENE
BLOCKADE/DEXTER PARI
STILT-MAN/WILBUR DAY
WORTHINGTON, KATHRYN
VULTURE/ADRIAN TOOME
GREEN GOBLIN/NORMAN
STACY, GWEN
STACY, CAPT. GEORGE
OSBORN, HARRY
GREEN GOBLIN III/BAR
SILVERMANE/SILVIO MA
GRANT, GLORIA GLORY
PULASKI, JOSEPHINE J
IONELLO, JASON
MCKEEVER, TINY
OSBORN, LIZ ALLAN
RICHARDS, FRANKLIN B
ONE ABOVE ALL [CELES
GAMMENON [CELESTIAL]
ZIRAN
ARISHEM [CELESTIAL]
WONG
DR. STRANGE/STEPHEN
UMAR
JESTER/JONATHAN POWE
ALRAUNE, MARLENE
FRENCHIE/JEAN-PAUL D
MANOLIS, LT. NICK
CRAWLEY, BETRAND
LANDERS, GENA
NEDDA
LANDERS, RAY
SAMUELS
LANDERS, RICKY
BUSHMAN, RAOUL
MASTERS, ALICIA REIS
FEAR EATER/KKALLAKKU
RINTRAH
NOX
SCARECROW II
CLEA
DWELLER IN DARKNESS
WOLFE, SARA
CHANG, IMEI
DEIMOS
GAMORA
PIP/PRINCE GOFERN
BLESSING, MORGANA
BARON BLOOD II/VICTO
DR. DRUID/ANTHONY LU
FRANKENSURFER/BORGO
DRACULA/VLAD TEPES
VON FRANKENSTEIN, BA
DR. DOOM/VICTOR VON
CERBERUS
FIRELORD/PYREUS KRIL
HELA [ASGARDIAN]
SILVER DAGGER/ISAIAH
AGAMOTTO
CLEOPATRA
THANOS
ZOTA
CAESAR, JULIUS
TOPAZ
SATANNISH
MEPHISTO
MEPHISTA
HOBGOBLIN II/RODERIC
HOBGOBLIN III/LEFTY
SLOAN, DR.
LUBENSKI, NATE
FROG-MAN II/EUGENE P
FOREIGNER/RAFAEL BAS
BANNON, LANCE
THINKER
MUGGINS, MAMIE
LIZARD/DR. CURTIS CO
KINGSLEY, DANIEL
JAMESON, MARLA MADIS
COUNT NEFARIA, LUCHI
UNICORN/MYLOS MASARY
PORCUPINE/ALEX GENTR
CANTOR, VERA
EEL/LEOPOLD STRYKE
ZELDA
SCARECROW/EBENEZER L
PENANCE/MONET ST. CR
PLANTMAN/SAM SMITHER
FREDERICKS, GENERAL
UNUS THE UNTOUCHABLE
LUCIFER
BLOB/FRED J. DUKES
DOMINUS
SUPREME ONE
EL TIGRE
RAMON
TOLOC
KUKULCAN/VIRAKO/QUET
MIMIC/CALVIN RANKIN
LOCUST
OGRE
BANSHEE/SEAN CASSIDY
SUPER-ADAPTOID/ALESS
HUMAN TORCH ANDROID/
TORO/TOM RAYMOND
CHURCHILL, SIR WINST
U-MAN/MERRANO
DEAN, BETTY
SPITFIRE/LADY JACQUE
UNION JACK II/BRIAN
FITZPATRICK, WILL
HORTON, PROFESSOR PH
PRENTISS, BETTY DEAN
BARON STRUCKER/WOLFG
RED SKULL/JOHANN SCH
WHIZZER/ROBERT L. FR
JACK FROST/
BLUE DIAMOND/PROFESS
PATRIOT/JEFF MACE
KRIEGHUND, COL.
BUCKY/BUCKY BARNES
RED RAVEN
THIN MAN/BRUCE DICKS
MISS AMERICA/MADELIN
BARON BLOOD/JOHN FAL
ZAWADI
MAKKARI/MIKE KHARY/I
MOLE MAN/HARVEY RUPE
GROTTU
GORGILLA
BLOODSTONE/ULYSSES B
KRO [DEVIANT]
ZINOVIEV, IVAN
GIGANTUS
GEORGE, DAVID LLOYD
UNION JACK/LORD MONT
DELGADO, FATHER
DAGGER/TANDY BOWEN
MAYHEM/DET. BRIGID O
HEATER DELIGHT
MANDARIN
ERWIN, MORLEY
TAURUS/CORNELIUS VAN
SIF
FAIRMONT, AMANDA MAN
DESTROYER III
KINCAID, DR. JANE FO
COLLINS, DEMITRIUS
BRADLEY, HANK
PERRIKUS
CASE, COL. PRESTON
FURY, COL. NICHOLAS
AQUARIUS II/
LEO/DANIEL RADFORD
CAPRICORN/WILLARD WE
LIBRA/GUSTAV BRANDT
SAGITTARIUS/HARLAN V
CANCER/JACK KLEVENO
GEMINI/JOSHUA LINK
PISCES/NOAH PERRICON
SCORPIO II
ARIES II/GROVER RAYM
VIRGO/ELAINE MCLAUGH
BROTHERS GRIMM II/BA
VIBRO/DR. FRANCIS VI
MORLEY
STANE, OBADIAH
MASTER MOLD II
BRICKMAN, SEN. MILES
KRAGG, GEN.
BRIDGE, GEORGE WASHI
CREED, GRAYDON
GILBERTI, ROSE
KINCAID, DR. KEITH
DIAMOND, CHUCKY
ADVA
MOSLEY, WARDEN
CHAKARA, MADAN
CHAKARA, KANU
KLAW/ULYSSES KLAW
LYJA LAZERFIST [SKRU
HUNTARA/MARY ELIZABE
KRISTOFF/KRISTOFF VE
ANT-MAN II/SCOTT HAR
PSI-LORD/FRANKLIN BE
RICHARDS, NATHANIEL
VIBRAXAS/N'KANO
DEVLOR
SHA SHAN
LIGHTMASTER/EDWARD L
TARANTULA/ANTON MIGU
KRAVEN THE HUNTER/SE
HITMAN/LT. BURT KENY
MORGAN
RODGERS, MARIANNE
GUARDSMAN/KEVIN O'BR
CRANDAL, BEN
SITWELL, JASPER
KLINE, MR.
SLASHER
BYRD, SEN. HARRINGTO
NIGHT PHANTOM II
SHANNA/SHANNA O'HARA
MANNING, DR.
PLUNDER, ADAM KYLE M
ZABU
PROTOCIDE/PRIVATE CL
BILLUPS, AGENT
HOGAN, VIRGINIA PEPP
FIREBRAND/GARY GILBE
FERRARI, CONNIE
RAMIREZ, JAVIER
DAYTRIPPER/AMANDA SE
GOG III
FORGE
MAJOR DOMO
GAMBIT/REMY LEBEAU
MOJO
QUARK
ARIZE
MAGOG II
SHAW, SHINOBI
KAUR, BENAZIR
PAYGE, REEVA
KINE, BENEDICT
BISHOP /
VAUGHAN, MRS.
UNBEING/BILLY BETELH
BALLANTINE, KAYLA
VAUGHAN, GAYLE
ORIGIN/PHYLLIS TWOMB
QUASAR III/WENDELL V
POWER PRINCESS/ZARDA
JACK OF HEARTS/JACK
MAELSTROM/MALCOLM ST
SERGEI
HYPERION
SHAPE
GARFIELD, MURRAY
LADY LARK/LINDA LEWI
TANAKA, KENJIRO
DR. SPECTRUM/JOSEPH
EON
KRONOS
ARCANNA/ARCANNA JONE
LACOSTE, RAE
SEGAR, OWEN
SANCTION/AARON
MANTONE, JORGE
JOSEPH, SHEVA
GUNSHIP/CARY ROUNTRE
LOCOMOTIVE BREATH/LA
STARDUST/T'URIN G'AR
HAYWIRE/
WHIZZER II/STANLEY S
BEAUTY
TRUTH
CHARM
SHANGA
JAKAR
STRANGER
EGO-PRIME
BI-BEAST II
4-D MAN/MERCURIO
OVERMIND/GROM
KRAKOA
ROCKET RACCOON
TEN FOR
DIAMONDHEAD/DYKER
DRAGONFLY/VERONICA D
CAPTAIN MARVEL II/MO
RUNNER
WHIZZER III/JAMES SA
SUPER SABRE/MARTIN F
FLASH/BARRY ALLEN/BU
MINERVA [KREE]
ATLAS
CAPTAIN BRITAIN/BRIA
PHOENIX III/RACHEL S
MODRED THE MYSTIC
WIDGET
NIGHTCRAWLER/KURT WA
MEGGAN
USAGENT/CAPTAIN JOHN
ELO
BLOOD BROTHERS
TUTINAX
MASTER ELO
DAREDEVIL/MATT MURDO
SUNDOWN/DR. DAVE LOW
VANISHER
D'ANGELO, LIEUTENANT
KA-ZAR/KEVIN PLUNDER
NOVA II/FRANKIE RAYE
CONTEMPLATOR/TATH KI
SHALLA BAL II
HYDROMAN/MORRIE BENC
ANDERSON, BAXTER
BLOODY MARY
EMPRESS S'BYLL [SKRU
REPTYL
SUPER SKRULL/KL'RT
SUPREME INTELLIGENCE
SWITZLER, BEVERLY
CALLAGHAN, JAMES
BRADDOCK, JAMES JR.
HUNTER, LANCE
CLOAK/TYRONE JOHNSON
DR. SYNNE
TANNER, JACKO
FRASER, DET. KATE
ROSS, COURTNEY
BOOMERANG/FRED MYERS
TALBOT, GLENN
DELPHI
ANNIHILUS
BROMWELL, DR.
LEEDS, NED
GLADIATOR II
ROSENTHAL, BERNIE
ANELLE
GRIMM, JAKE
STARFOX/EROS
OX
MONTANA
FANCY DAN
ZARRKO, ARTHUR
TERRAX II/TYROS
CANNONBALL/JACK PULV
NELSON, FRANKLIN FOG
GAMBONNO, LUIGI
RINGMASTER/MAYNARD T
BRUTO THE STRONGMAN/
PAGE, KAREN
GAMBONNO, ERNESTO
EVANS, DORIS
CHAMELEON/DMITRI SME
WARREN, MR.
SHADOWCAT/KATHERINE
CERISE II [SHI'AR]
THOMAS, COMMANDER DA
ICON/DR. U'MBAYA A'K
KNIGHT ERRANT/MATSON
AHAB/RORY CAMPBELL
MANIPULATOR/
STINGER II/
DUGAN, TIMOTHY ALOYI
RAMIREZ, ALMA
RAMIREZ, ROSA
OXNARD, PHIL
BOLT, COUNCILMAN AND
RAMIREZ, MARTA
RAMIREZ, LUIS
KORVAC, MICHAEL
ASTROVIK, NORMA
BINARY/CAROL DANVERS
COLLECTOR/TANELEER T
GYRICH, HENRY PETER
ZEUS
HERCULES [GREEK GOD]
CARINA/CARINA WALTER
HERA/AUGUSTINE JONES
CAPTAIN MARVEL/CAPTA
TWO-GUN KID
HEIMDALL [ASGARDIAN]
BROWN, LAURA
PIERCE, ALEXANDER GO
JONES, GABE
MADAME HYDRA VI
DE LA FONTAINE, CONT
MAD DOG/COLONEL BUZZ
WOO, JIMMY
MACKENZIE, AL
NEVILLE, KATE
QUARTERMAIN, CLAY
RUNCITER, GAIL
GAFF/SIDNEY E. LEVIN
BLACK KNIGHT V/DANE
KOENIG, ERIC
MS. MARVEL II/SHARON
NEPHRI
OZYMANDIAS
LOGOS
OSIRIS
PHARAOH RAMA-TUT
BAAL
APOCALYPSE/EN SABAH
KRISTA
TANA NILE
VOLSTAGG
GRANT, SILAS
BALDER [ASGARDIAN]
HILDEGARDE [ASGARDIA
ULIK
STUNT-MASTER/GEORGE
BLAZE, ROXANNE SIMPS
HELLSTORM/DAIMON HEL
SATAN/MARDU KURIOS
DEATH-STALKER
MYSTERIO/QUENTIN BEC
ORB
REYNOLDS, KATHERINE
LEGION
TRAPSTER/PETER PETRU
MOOMJI, INDRIES
MARTINELLI, VINCENT
CORTEZ, FABIAN
VOGHT, AMELIA
SCANNER II
CARGIL/JOANNA CARGIL
HUXLEY, DR. ALDA
TRIATHLON/DELROY GAR
MACHINE MAN/X-51
HALLER, GABRIELLE
SUVOROV, ADMIRAL GRI
SPOOR/ANDREW HAMISH
PROJECTOR/
KLEINSTOCK, SVEN
KLEINSTOCK, HARLAN
BOERKE, MAYOR
STATIC
BARNACLE/
DEVEREAUX, MICHELLE
REM-RAM/
SENYAKA
SCHEMER/RICHARD FISK
JAMESON, COL. JOHN
SMITH, JOE
ANCIENT ONE
DR. STRANGER YET
APPALLA
BLACK KNIGHT V STATU
DIABLO/ESTEBAN DE AB
JONES, MARLO CHANDLE
QUASIMODO
HULK III/BRUCE BANNE
NOMAD III/JACK MONRO
DEATH ADDER
MADCAP
ROTH, ARNIE
FALCON/SAM WILSON
SISTER PLEASURE/SCAR
MOTHER SUPERIOR
SISTER DREAM
SISTER DEATH
SISTER AGONY
BLACK CROW/JESSE BLA
ZARAN/MAXIMILLIAN ZA
MACLAIN, DR. MYRON
BURLEY, MIKE
DILLON, BERNIE
RIDER, CHARLES
RIDER, ROBERT ROBBIE
JAYE-FIRESTONE, GING
RIDER, GLORIA
COOPER, ROGER CAPS
KRAA
CONDOR
POWERHOUSE/RIEG DAVA
SIDEWINDER/SETH VOEL
CONSTRICTOR/FRANK PA
PRINCESS PYTHON/ZELD
MALUS, DR. KARL
ARMADILLO/ANTONIO RO
SPHINX
SAYGE
CAPTAIN MARVEL III/G
BETA RAY BILL
BLACKBODY
JUSUR
JYX
ALIST
CRIX
UNI-LORD
HARQUIS TEY
HYNNIT
KHIRN
YLA
TEI
YURGE
FIM
MIBA
REI
GRAND OVERSEER
DARK COUNSEL/VARTU
NURIL
PYRAKH, COMMANDER
SKOOKA
HUNKIR
JURIAS
PRADDA FOL
GRUX
TYN-DARMUTH
OJANI
IZZIFIZZ
UNIT 101101
STRACU
QIRMET
UR-LINI
HYZAKTL
VORZEN
SZARKUS
VYREK
OUTRIDER/OCLIN UWIR
HRILL
HOWARD THE DUCK
SHAMAN/MICHAEL TWOYO
OMEGA II
COUNTERWEIGHT II/KAT
LIGHTSPEED/JULIE POW
FRIDAY
COUNTERWEIGHT/JACK P
POWER, DR. JIM
POWER, MARGARET
LIVEWIRE/RANCE PREST
CLOWN/CRAFTY ELIOT F
LEADER/SAM STERNS
DOC SAMSON/DR. LEONA
ABSORBING MAN/CARL C
PRINCE REY
TYRANNUS
LANN
SOMMERS, APRIL
KOFI [KYMELLIAN]
JARELLA
PSYKLOP
STAR-STALKER
NORRISS, JACK
NEBULON
CYCLOPS 2013
PROFESSOR XAVIER 201
ANGEL 2013
BEAST 2013
NIGHTCRAWLER 2013
STORM 2013
PHOENIX 2013
COLOSSUS 2013
WOLVERINE 2013
NAGAN, DR. ARTHUR
MORGAN, JERROLD JERR
CHONDU
RUBY
WILLIAMS, MINDY
ARAGORN
OSHIMA
TAKACHIHO, HIRO
HONEY LEMON/
SUNFIRE/SHIRO YOSHID
TAKACHIHO, MRS.
BAYMAX
EVERWRAITH/
GOGO TAMAGO/
SILVER SAMURAI/KENYU
MAGUS
THANOS DOPPELGANGER
HARKNESS, AGATHA
SASQUATCH/WALTER LAN
HUDSON, HEATHER
LIVING TRIBUNAL
TRIAX
NOBILUS
HIGH EVOLUTIONARY/HE
INFINITY THRALL
HATE
LOVE
WALSH, LYNN
URICH, DORIS
MACTAGGERT, MOIRA KI
FRIEDLANDER, SHARON
RANGER I/
SPIDER-MAN III/MARTH
HARGROVE, ELIAS
REINHOLDT
ELECTRO/MAX DILLON
HOBGOBLIN V/JASON PH
CITIZEN V III/DALLAS
ZEMO/BARON HEINRICH
CITIZEN V/JOHN WATKI
CITIZEN V II/HELMUT
SHE-WOLF/PAULETTE BR
FIXER II/PAUL NORBER
CUSHING, KATE
FLAG-SMASHER
HALDEMAN, CALVIN
SPIDER-WOMAN IV/CHAR
CALLISTO
MARROW/SARAH
HUNGER
GLENN, HEATHER
SMASHER III
MINDWAVE
GELLER, URI
NELSON, CANDACE
WIND-WARRIOR/PAMELA
TASKMASTER
DIAMONDBACK II/RACHE
LUDLUM, ROSS
ORWELL
ASHER, MICHAEL
FAGIN
NILES, SEN. CATHERIN
HOFFMAN
ASHER, CARL
ASHER, DONNA
OSWALD
SHARPE, ROSALINDE
MASTERMIND IV/MARTIN
LANE, LOIS
KNIGHT, MISTY
STICK
LOPEZ, DONNA
OX III
EEL II/EDWARD LAVELL
HAMMER II/
VESPER
IRON FIST/DANIEL RAN
STRONTIUM-90/
BACILLUS
HAWKINS, DR. EDWIN E
POWER MAN/ERIK JOSTE
BLACK GOLIATH/DR. WI
MENTOR/ALARS [ETERNA
DEMEITYR
ISAAC
VERMICELLI, GIANNI
BLIZZARD II/DONALD G
DARE, KATHLEEN
HAMMER, JUSTIN
WHIPLASH/MARK SCARLO
ALVAREZ, FELIX
PEARSON, MARCY
MADAME MASQUE II/
MADAME MASQUE/GIULIE
DEADPOOL/JACK/WADE W
DIRTY WOLFF
COPYCAT/VANESSA
CORD, EDWIN
LANG, CASSANDRA CASS
GREY GARGOYLE/PAUL P
RADIOACTIVE MAN/DR.
O'CONNOR, A.C. ACE
MARTINS
LANE, SILAS
SPACE PHANTOM
FIREFALL/KARAS
OSBORN, NORMIE
HAMMERHEAD
LIVING LIGHTNING/MIG
DARKHAWK/CHRIS POWEL
PROFESSOR POWER/ANTH
KALA
SERSI/SYLVIA
BRUTUS
GROTESK
HOWARD, PROFESSOR MA
BLACK KNIGHT/SIR PER
MEDUSA/MEDUSALITH AM
MAXIMUS [INHUMAN]
EXECUTIONER III/BRUT
MONGOOSE
QUICKSAND
IMPALA/
FORGOTTEN ONE/GILGAM
EXECUTIONER II/SKURG
MASTERSON, KEVIN
LORELEI II/MELODI [A
SAPRISTI, JERRY
GLORIAN/THOMAS GIDEO
SHAPER OF WORLDS
SHOCKER/HERMAN SCHUL
SNIPES, DET.
GAUNT/MENDEL STROMM
PARKER, HORACE
ROBERTSON, RANDY
TINKER, SHEA
TYPEFACE/GORDON THOM
OSBORN, NORMAN
PARKER, BEN
WEAPON X II/GARRISON
STRYFE
ZERO
TEMPO
SKIDS/SALLY BLEVINS
STROBE/
KAMIKAZE
DRAGONESS
REAPER II
FOREARM
WILDSIDE
HAMMER III/EISENHOWE
FIREFIST/RUSTY COLLI
RANDI
CANDY
BALDWIN, MADELYNE MA
ARRANGER/
VIPER II
MERCADO, JOY
SET
GHAUR [DEVIANT]
KENT, CLARK
LLYRA/LLYRA MORRIS
HALE, JONAS
SUNTURION/ARTHUR DEA
BAKER, ANNE-MARIE
DRAKE, CARLTON
AURIC/
ENDO, DR. SUZI
CENTURY
WONDER MAN 2010/SIMO
ULTRON 2010
TODD, FISHER
RAMBEAU, FRANK
RAMBEAU, MARIA
LATHAM, JORGE
WIZARD/BENTLEY WITTM
REAGAN, RONALD
MOONSTONE II/KARLA S
ELYSIUS
TIGER SHARK/TODD ARL
SLOAN, FRED
BEETLE/ABNER RONALD
SIKORSKY, RAYMOND
O'BRIEN, MICHAEL
BLACKOUT/MARCUS DANI
DANNING, SHEILA
LUNA/LUNA MAXIMOFF [
GAROKK
LETTERMAN, DAVID
ELEKTRA/ELEKTRA NATC
MAGMA/AMARA AQUILLA/
CALIBAN/
KULAN GATH
SUNDER
MCLAREN, MEGAN
RAGE/ELVIN DARYL HAL
SWORDSMAN III/PHILIP
MAGDALENE/MARISSA DA
DEMOLITION MAN/DENNI
FREEMAN, DUANE JEROM
WHIRLWIND/DAVID CANN
CORRUPTOR/JACKSON DA
RIVERA, DR. JASON
BLUE SHIELD/JOSEPH J
CHAMPION, IMUS
LOR, KONA
RON, TALLA
GALEN KOR, ADMIRAL [
CIR, DYLON
STRIDER
MORDRED THE EVIL
FIREBIRD/BONITA JUAR
GULLIN
LE FEY, MORGAN
STINGRAY/DR. WALTER
MUTAURUS
N'DELE
MIDGARD SERPENT
JONES, RICHARD MILHO
WEREWOLF BY NIGHT/JA
MAGNUM, MOSES
SILVERCLAW/LA GARRA
BORA
FLY
LAVEAU, MARIE
DRUMM, JERICHO
RAHL
BROTHER VOODOO/DANIE
DRAGONUS
ARKON
EXECUTIONER V
BARON MORDO/KARL MOR
AZRAEL
HAROKIN [ASGARDIAN]
ANDERSON, CHARLES
SOPHIE
PALERMO, VICTOR
PALERMO, HARRIET ROS
CHEKOV, ARTHUR ANTON
TOAD/MORTIMER TOYNBE
OSNICK, OLLIE
BLACK FOX II/
MACINTOSH, ANN
VENOM/EDDIE BROCK
FUJIKAWA, RUMIKO
SCYLLA
DESTRAK
MARAUD
JAKAL
SENTRY 459
CHEETAH
RONAN THE ACCUSER [K
ARON [WATCHER]
NYLES, JENNIFER
PETERS, NIGEL
FALSWORTH, KENNETH
SELENE
PIERCE, DONALD
TESSA
BLACK KING/SEBASTIAN
LADY DEATHSTRIKE/YUR
ORPHAN-MAKER/PETER
BONEBREAKER/
KELLY, SEN. ROBERT E
NANNY II
MINOR DOMO
SPIRAL
COLE, WADE
REESE, MURRAY
AMPHIBIUS
MALICE IV
WHITEOUT
GAZA
ZALADANE
BARBARUS
PARKER, MARY
HASARD, SAMANTHA
HEX/DOMINIC DESTINE
CRIMSON CRUSADER/ROR
SYNRAITH
GAMBLE, GRACIE
IMP/PANDORA DESTINE
WALLOP/WALTER DESTIN
DESTINE, NEWTON
CERA, KAY
DESTINE, ADAM
POPE
NUMBER NINE
QNAX
MICROCHIP/LINUS LIEB
NETWORK NINA
NORTHSTAR/JEAN-PAUL
PUCK/EUGENE MILTON J
PERSUASION/KARA KILL
AURORA/JEANNE-MARIE
BOX/ROGER BOCHS
BOX IV/MADISON JEFFR
MANIKIN/DR. WHITMAN
FREDERICKSON, KOLINA
BENDIX, DR. ALBERT
MENKEN, DONALD L.
PESTILENCE/CAPT. F.R
SNOWBIRD/NARYA/ANNE
TALISMAN II/ELIZABET
MESMERO
BYRRAH [ATLANTEAN]
MARRINA/MARRINA SMAL
PURPLE MAN/ZEBEDIAH
D'KEN [SHI'AR]
K'RK [SHI'AR]
S'LAR
DUCHARME
BROWN, ABE
SUN, LIN
STARK, HOWARD
IRON MAN III/EDDIE M
CORD, JANICE
HARRIS, EDDIE
CRIMSON DYNAMO III/A
TITANIUM MAN/BORIS B
SCREAMING MIMI/MELIS
MELTER/BRUNO HORGAN
HIJACKER
MIRAGE
